ID empleado	Domicilio	Ciudad	País
1011	Calle Inventada 1	Medellín	Colombia
1012	Calle Inventada 2	Medellín	Colombia
1041	Calle Inventada 3	Medellín	Colombia
1054	Calle Inventada 4	Bogotá	Colombia
1055	Calle Inventada 5	Bogotá	Colombia
1056	Calle Inventada 6	Monteria	Colombia
1067	Calle Inventada 7	Medellín	Colombia
1068	Calle Inventada 8	Medellín	Colombia
1075	Calle Inventada 9	Bogotá	Colombia
1076	Calle Inventada 10	Monteria	Colombia
1078	Calle Inventada 11	Palmira	Colombia
1079	Calle Inventada 12	Medellín	Colombia
1080	Calle Inventada 13	Bogotá	Colombia
1152	Calle Inventada 14	Medellín	Colombia
1153	Calle Inventada 15	Medellín	Colombia
1154	Calle Inventada 16	Monteria	Colombia
1167	Calle Inventada 17	Medellín	Colombia
1168	Calle Inventada 18	Medellín	Colombia
1169	Calle Inventada 19	Medellín	Colombia
1284	Calle Inventada 20	Palmira	Colombia
1285	Calle Inventada 21	Palmira	Colombia
1290	Calle Inventada 22	Medellín	Colombia
1291	Calle Inventada 23	Medellín	Colombia
1292	Calle Inventada 24	Medellín	Colombia
1293	Calle Inventada 25	Medellín	Colombia
1294	Calle Inventada 26	Monteria	Colombia
1299	Calle Inventada 27	Bogotá	Colombia
1300	Calle Inventada 28	Medellín	Colombia
1301	Calle Inventada 29	Medellín	Colombia
1301	Calle Inventada 30	Medellín	Colombia
1302	Calle Inventada 31	Bucaramanga	Colombia
1303	Calle Inventada 32	Bucaramanga	Colombia
1310	Calle Inventada 33	Medellín	Colombia
1311	Calle Inventada 34	Medellín	Colombia
1329	Calle Inventada 35	Medellín	Colombia
1330	Calle Inventada 36	Palmira	Colombia
1331	Calle Inventada 37	Bucaramanga	Colombia
1333	Calle Inventada 38	Medellín	Colombia
1334	Calle Inventada 39	Bucaramanga	Colombia
1352	Calle Inventada 40	Bucaramanga	Colombia
1353	Calle Inventada 41	Bogotá	Colombia
1354	Calle Inventada 42	Bogotá	Colombia
1359	Calle Inventada 43	Medellín	Colombia
1360	Calle Inventada 44	Medellín	Colombia
1361	Calle Inventada 45	Medellín	Colombia
1368	Calle Inventada 46	Medellín	Colombia
1369	Calle Inventada 47	Bogotá	Colombia
1370	Calle Inventada 48	Bogotá	Colombia
1426	Calle Inventada 49	Bucaramanga	Colombia
1427	Calle Inventada 50	Bogotá	Colombia
1428	Calle Inventada 51	Monteria	Colombia
1509	Calle Inventada 52	Bucaramanga	Colombia
1510	Calle Inventada 53	Medellín	Colombia
1516	Calle Inventada 54	Palmira	Colombia
1517	Calle Inventada 55	Palmira	Colombia
1518	Calle Inventada 56	Bucaramanga	Colombia
1529	Calle Inventada 57	Bogotá	Colombia
1530	Calle Inventada 58	Medellín	Colombia
1531	Calle Inventada 59	Monteria	Colombia
1556	Calle Inventada 60	Medellín	Colombia
1557	Calle Inventada 61	Medellín	Colombia
1558	Calle Inventada 62	Medellín	Colombia
1572	Calle Inventada 63	Medellín	Colombia
1573	Calle Inventada 64	Palmira	Colombia
1574	Calle Inventada 65	Medellín	Colombia
1656	Calle Inventada 66	Medellín	Colombia
1657	Calle Inventada 67	Palmira	Colombia
1658	Calle Inventada 68	Palmira	Colombia
1673	Calle Inventada 69	Bucaramanga	Colombia
1674	Calle Inventada 70	Palmira	Colombia
1674	Calle Inventada 71	Palmira	Colombia
1675	Calle Inventada 72	Monteria	Colombia
1675	Calle Inventada 73	Medellín	Colombia
1676	Calle Inventada 74	Medellín	Colombia
1677	Calle Inventada 75	Bogotá	Colombia
1695	Calle Inventada 76	Palmira	Colombia
1696	Calle Inventada 77	Bogotá	Colombia
1723	Calle Inventada 78	Monteria	Colombia
1724	Calle Inventada 79	Medellín	Colombia
1724	Calle Inventada 80	Medellín	Colombia
1725	Calle Inventada 81	Monteria	Colombia
1725	Calle Inventada 82	Bucaramanga	Colombia
1758	Calle Inventada 83	Medellín	Colombia
1759	Calle Inventada 84	Bogotá	Colombia
1792	Calle Inventada 85	Medellín	Colombia
1793	Calle Inventada 86	Bucaramanga	Colombia
1794	Calle Inventada 87	Medellín	Colombia
1814	Calle Inventada 88	Monteria	Colombia
1815	Calle Inventada 89	Medellín	Colombia
1816	Calle Inventada 90	Monteria	Colombia
1906	Calle Inventada 91	Medellín	Colombia
1907	Calle Inventada 92	Medellín	Colombia
1908	Calle Inventada 93	Medellín	Colombia
1922	Calle Inventada 94	Bucaramanga	Colombia
1923	Calle Inventada 95	Medellín	Colombia
1931	Calle Inventada 96	Medellín	Colombia
1932	Calle Inventada 97	Medellín	Colombia
1933	Calle Inventada 98	Medellín	Colombia
1949	Calle Inventada 99	Medellín	Colombia
1950	Calle Inventada 100	Medellín	Colombia
1960	Calle Inventada 101	Medellín	Colombia
1961	Calle Inventada 102	Medellín	Colombia
1962	Calle Inventada 103	Bucaramanga	Colombia
1966	Calle Inventada 104	Bogotá	Colombia
1967	Calle Inventada 105	Bucaramanga	Colombia
1967	Calle Inventada 106	Bucaramanga	Colombia
1968	Calle Inventada 107	Palmira	Colombia
1968	Calle Inventada 108	Monteria	Colombia
1969	Calle Inventada 109	Bucaramanga	Colombia
1975	Calle Inventada 110	Bogotá	Colombia
1976	Calle Inventada 111	Medellín	Colombia
1977	Calle Inventada 112	Monteria	Colombia
1977	Calle Inventada 113	Medellín	Colombia
1978	Calle Inventada 114	Monteria	Colombia
			
